,Date,State,District,Confirmed,Recovered,Deaths,Tested
0,2020-01-30,Kerala,Total,1,0,0,0
1,2020-01-30,Total,Total,1,0,0,0
2,2020-02-02,Kerala,Total,2,0,0,0
3,2020-02-02,Total,Total,2,0,0,0
4,2020-02-03,Kerala,Total,3,0,0,0
5,2020-02-03,Total,Total,3,0,0,0
6,2020-02-14,Kerala,Total,3,3,0,0
7,2020-02-14,Total,Total,3,3,0,0
8,2020-03-02,Delhi,Total,1,0,0,0
9,2020-03-02,Delhi,Delhi,1,0,0,0
10,2020-03-02,Kerala,Total,3,3,0,0
11,2020-03-02,Telangana,Total,1,0,0,0
12,2020-03-02,Telangana,Unknown,1,0,0,0
13,2020-03-02,Total,Total,5,3,0,0
14,2020-03-03,Delhi,Total,1,0,0,0
15,2020-03-03,Delhi,Delhi,1,0,0,0
16,2020-03-03,Kerala,Total,3,3,0,0
17,2020-03-03,Rajasthan,Total,1,0,0,0
18,2020-03-03,Telangana,Total,1,0,0,0
19,2020-03-03,Telangana,Unknown,1,0,0,0
20,2020-03-03,Total,Total,6,3,0,0
21,2020-03-04,Delhi,Total,1,0,0,0
22,2020-03-04,Delhi,Delhi,1,0,0,0
23,2020-03-04,Haryana,Total,14,0,0,0
24,2020-03-04,Kerala,Total,3,3,0,0
25,2020-03-04,Rajasthan,Total,2,0,0,0
26,2020-03-04,Telangana,Total,1,0,0,0
27,2020-03-04,Telangana,Unknown,1,0,0,0
28,2020-03-04,Total,Total,28,3,0,0
29,2020-03-04,Uttar Pradesh,Total,7,0,0,0
30,2020-03-05,Delhi,Total,2,0,0,0
31,2020-03-05,Delhi,Delhi,2,0,0,0
32,2020-03-05,Haryana,Total,14,0,0,0
33,2020-03-05,Kerala,Total,3,3,0,0
34,2020-03-05,Rajasthan,Total,2,0,0,0
35,2020-03-05,Telangana,Total,1,0,0,0
36,2020-03-05,Telangana,Unknown,1,0,0,0
37,2020-03-05,Total,Total,30,3,0,0
38,2020-03-05,Uttar Pradesh,Total,8,0,0,0
39,2020-03-06,Delhi,Total,3,0,0,0
40,2020-03-06,Delhi,Delhi,3,0,0,0
41,2020-03-06,Haryana,Total,14,0,0,0
42,2020-03-06,Kerala,Total,3,3,0,0
43,2020-03-06,Rajasthan,Total,2,0,0,0
44,2020-03-06,Telangana,Total,1,0,0,0
45,2020-03-06,Telangana,Unknown,1,0,0,0
46,2020-03-06,Total,Total,31,3,0,0
47,2020-03-06,Uttar Pradesh,Total,8,0,0,0
48,2020-03-07,Delhi,Total,3,0,0,0
49,2020-03-07,Delhi,Delhi,3,0,0,0
50,2020-03-07,Haryana,Total,14,0,0,0
51,2020-03-07,Kerala,Total,3,3,0,0
52,2020-03-07,Ladakh,Total,2,0,0,0
53,2020-03-07,Rajasthan,Total,2,0,0,0
54,2020-03-07,Telangana,Total,1,0,0,0
55,2020-03-07,Telangana,Unknown,1,0,0,0
56,2020-03-07,Tamil Nadu,Total,1,0,0,0
57,2020-03-07,Total,Total,34,3,0,0
58,2020-03-07,Uttar Pradesh,Total,8,0,0,0
59,2020-03-08,Delhi,Total,3,0,0,0
60,2020-03-08,Delhi,Delhi,3,0,0,0
61,2020-03-08,Haryana,Total,14,0,0,0
62,2020-03-08,Kerala,Total,8,3,0,0
63,2020-03-08,Ladakh,Total,2,0,0,0
64,2020-03-08,Rajasthan,Total,2,0,0,0
65,2020-03-08,Telangana,Total,1,0,0,0
66,2020-03-08,Telangana,Unknown,1,0,0,0
67,2020-03-08,Tamil Nadu,Total,1,0,0,0
68,2020-03-08,Total,Total,39,3,0,0
69,2020-03-08,Uttar Pradesh,Total,8,0,0,0
70,2020-03-09,Delhi,Total,4,0,0,0
71,2020-03-09,Delhi,Delhi,4,0,0,0
72,2020-03-09,Haryana,Total,14,0,0,0
73,2020-03-09,Jammu and Kashmir,Total,1,0,0,0
74,2020-03-09,Karnataka,Total,1,0,0,0
75,2020-03-09,Kerala,Total,9,3,0,0
76,2020-03-09,Ladakh,Total,2,0,0,0
77,2020-03-09,Maharashtra,Total,2,0,0,0
78,2020-03-09,Punjab,Total,1,0,0,0
79,2020-03-09,Rajasthan,Total,2,0,0,0
80,2020-03-09,Telangana,Total,1,0,0,0
81,2020-03-09,Telangana,Unknown,1,0,0,0
82,2020-03-09,Tamil Nadu,Total,1,0,0,0
83,2020-03-09,Total,Total,48,3,0,0
84,2020-03-09,Uttar Pradesh,Total,10,0,0,0
85,2020-03-10,Delhi,Total,4,0,0,0
86,2020-03-10,Delhi,Delhi,4,0,0,0
87,2020-03-10,Haryana,Total,14,0,0,0
88,2020-03-10,Jammu and Kashmir,Total,1,0,0,0
89,2020-03-10,Karnataka,Total,4,0,0,0
90,2020-03-10,Kerala,Total,17,3,0,0
91,2020-03-10,Ladakh,Total,2,0,0,0
92,2020-03-10,Maharashtra,Total,5,0,0,0
93,2020-03-10,Punjab,Total,1,0,0,0
94,2020-03-10,Rajasthan,Total,3,0,0,0
95,2020-03-10,Telangana,Total,1,0,0,0
96,2020-03-10,Telangana,Unknown,1,0,0,0
97,2020-03-10,Tamil Nadu,Total,1,0,0,0
98,2020-03-10,Total,Total,63,3,0,0
99,2020-03-10,Uttar Pradesh,Total,10,0,0,0
100,2020-03-11,Delhi,Total,5,0,0,0
101,2020-03-11,Delhi,Delhi,5,0,0,0
102,2020-03-11,Haryana,Total,14,0,0,0
103,2020-03-11,Jammu and Kashmir,Total,1,0,0,0
104,2020-03-11,Karnataka,Total,4,0,0,0
105,2020-03-11,Kerala,Total,17,3,0,0
106,2020-03-11,Ladakh,Total,3,0,0,0
107,2020-03-11,Maharashtra,Total,11,0,0,0
108,2020-03-11,Punjab,Total,1,0,0,0
109,2020-03-11,Rajasthan,Total,3,0,0,0
110,2020-03-11,Telangana,Total,1,0,0,0
111,2020-03-11,Telangana,Unknown,1,0,0,0
112,2020-03-11,Tamil Nadu,Total,1,0,0,0
113,2020-03-11,Total,Total,71,3,0,0
114,2020-03-11,Uttar Pradesh,Total,10,0,0,0
115,2020-03-12,Andhra Pradesh,Total,1,0,0,0
116,2020-03-12,Delhi,Total,6,0,0,0
117,2020-03-12,Delhi,Delhi,6,0,0,0
118,2020-03-12,Haryana,Total,14,0,0,0
119,2020-03-12,Jammu and Kashmir,Total,1,0,0,0
120,2020-03-12,Karnataka,Total,5,0,0,0
121,2020-03-12,Kerala,Total,19,3,0,0
122,2020-03-12,Ladakh,Total,3,0,0,0
123,2020-03-12,Maharashtra,Total,14,0,0,0
124,2020-03-12,Punjab,Total,1,0,0,0
125,2020-03-12,Rajasthan,Total,3,0,0,0
126,2020-03-12,Telangana,Total,1,0,0,0
127,2020-03-12,Telangana,Unknown,1,0,0,0
128,2020-03-12,Tamil Nadu,Total,1,0,0,0
129,2020-03-12,Total,Total,81,3,0,0
130,2020-03-12,Uttar Pradesh,Total,12,0,0,0
131,2020-03-13,Andhra Pradesh,Total,1,0,0,0
132,2020-03-13,Delhi,Total,7,0,0,0
