,Province/State,Country/Region,Lat,Long,Date,#Confirmed,#Deaths,#Recovered
0,Afghanistan,Afghanistan,33.0,65.0,1/22/20,0,0,0.0
1,Albania,Albania,41.1533,20.1683,1/22/20,0,0,0.0
2,Algeria,Algeria,28.0339,1.6596,1/22/20,0,0,0.0
3,Andorra,Andorra,42.5063,1.5218,1/22/20,0,0,0.0
4,Angola,Angola,-11.2027,17.8739,1/22/20,0,0,0.0
5,Antigua and Barbuda,Antigua and Barbuda,17.0608,-61.7964,1/22/20,0,0,0.0
6,Argentina,Argentina,-38.4161,-63.6167,1/22/20,0,0,0.0
7,Armenia,Armenia,40.0691,45.0382,1/22/20,0,0,0.0
8,Australian Capital Territory,Australia,-35.4735,149.0124,1/22/20,0,0,0.0
9,New South Wales,Australia,-33.8688,151.2093,1/22/20,0,0,0.0
10,Northern Territory,Australia,-12.4634,130.8456,1/22/20,0,0,0.0
11,Queensland,Australia,-28.0167,153.4,1/22/20,0,0,0.0
12,South Australia,Australia,-34.9285,138.6007,1/22/20,0,0,0.0
13,Tasmania,Australia,-41.4545,145.9707,1/22/20,0,0,0.0
14,Victoria,Australia,-37.8136,144.9631,1/22/20,0,0,0.0
15,Western Australia,Australia,-31.9505,115.8605,1/22/20,0,0,0.0
16,Austria,Austria,47.5162,14.5501,1/22/20,0,0,0.0
17,Azerbaijan,Azerbaijan,40.1431,47.5769,1/22/20,0,0,0.0
18,Bahamas,Bahamas,25.0343,-77.3963,1/22/20,0,0,0.0
19,Bahrain,Bahrain,26.0275,50.55,1/22/20,0,0,0.0
20,Bangladesh,Bangladesh,23.685,90.3563,1/22/20,0,0,0.0
21,Barbados,Barbados,13.1939,-59.5432,1/22/20,0,0,0.0
22,Belarus,Belarus,53.7098,27.9534,1/22/20,0,0,0.0
23,Belgium,Belgium,50.8333,4.0,1/22/20,0,0,0.0
24,Benin,Benin,9.3077,2.3158,1/22/20,0,0,0.0
25,Bhutan,Bhutan,27.5142,90.4336,1/22/20,0,0,0.0
26,Bolivia,Bolivia,-16.2902,-63.5887,1/22/20,0,0,0.0
27,Bosnia and Herzegovina,Bosnia and Herzegovina,43.9159,17.6791,1/22/20,0,0,0.0
28,Brazil,Brazil,-14.235,-51.9253,1/22/20,0,0,0.0
29,Brunei,Brunei,4.5353,114.7277,1/22/20,0,0,0.0
30,Bulgaria,Bulgaria,42.7339,25.4858,1/22/20,0,0,0.0
31,Burkina Faso,Burkina Faso,12.2383,-1.5616,1/22/20,0,0,0.0
32,Cabo Verde,Cabo Verde,16.5388,-23.0418,1/22/20,0,0,0.0
33,Cambodia,Cambodia,11.55,104.9167,1/22/20,0,0,0.0
34,Cameroon,Cameroon,3.848,11.5021,1/22/20,0,0,0.0
35,Alberta,Canada,53.9333,-116.5765,1/22/20,0,0,
36,British Columbia,Canada,49.2827,-123.1207,1/22/20,0,0,
37,Grand Princess,Canada,37.6489,-122.6655,1/22/20,0,0,
38,Manitoba,Canada,53.7609,-98.8139,1/22/20,0,0,
39,New Brunswick,Canada,46.5653,-66.4619,1/22/20,0,0,
40,Newfoundland and Labrador,Canada,53.1355,-57.6604,1/22/20,0,0,
41,Nova Scotia,Canada,44.682,-63.7443,1/22/20,0,0,
42,Ontario,Canada,51.2538,-85.3232,1/22/20,0,0,
43,Prince Edward Island,Canada,46.5107,-63.4168,1/22/20,0,0,
44,Quebec,Canada,52.9399,-73.5491,1/22/20,0,0,
45,Saskatchewan,Canada,52.9399,-106.4509,1/22/20,0,0,
46,Central African Republic,Central African Republic,6.6111,20.9394,1/22/20,0,0,0.0
47,Chad,Chad,15.4542,18.7322,1/22/20,0,0,0.0
48,Chile,Chile,-35.6751,-71.543,1/22/20,0,0,0.0
49,Anhui,China,31.8257,117.2264,1/22/20,1,0,0.0
50,Beijing,China,40.1824,116.4142,1/22/20,14,0,0.0
51,Chongqing,China,30.0572,107.874,1/22/20,6,0,0.0
52,Fujian,China,26.0789,117.9874,1/22/20,1,0,0.0
53,Gansu,China,37.8099,101.0583,1/22/20,0,0,0.0
54,Guangdong,China,23.3417,113.4244,1/22/20,26,0,0.0
55,Guangxi,China,23.8298,108.7881,1/22/20,2,0,0.0
56,Guizhou,China,26.8154,106.8748,1/22/20,1,0,0.0
57,Hainan,China,19.1959,109.7453,1/22/20,4,0,0.0
58,Hebei,China,39.549,116.1306,1/22/20,1,0,0.0
59,Heilongjiang,China,47.862,127.7615,1/22/20,0,0,0.0
60,Henan,China,33.882,113.614,1/22/20,5,0,0.0
61,Hong Kong,China,22.3,114.2,1/22/20,0,0,0.0
62,Hubei,China,30.9756,112.2707,1/22/20,444,17,28.0
63,Hunan,China,27.6104,111.7088,1/22/20,4,0,0.0
64,Inner Mongolia,China,44.0935,113.9448,1/22/20,0,0,0.0
65,Jiangsu,China,32.9711,119.455,1/22/20,1,0,0.0
66,Jiangxi,China,27.614,115.7221,1/22/20,2,0,0.0
67,Jilin,China,43.6661,126.1923,1/22/20,0,0,0.0
68,Liaoning,China,41.2956,122.6085,1/22/20,2,0,0.0
69,Macau,China,22.1667,113.55,1/22/20,1,0,0.0
70,Ningxia,China,37.2692,106.1655,1/22/20,1,0,0.0
71,Qinghai,China,35.7452,95.9956,1/22/20,0,0,0.0
72,Shaanxi,China,35.1917,108.8701,1/22/20,0,0,0.0
73,Shandong,China,36.3427,118.1498,1/22/20,2,0,0.0
74,Shanghai,China,31.202,121.4491,1/22/20,9,0,0.0
75,Shanxi,China,37.5777,112.2922,1/22/20,1,0,0.0
76,Sichuan,China,30.6171,102.7103,1/22/20,5,0,0.0
77,Tianjin,China,39.3054,117.323,1/22/20,4,0,0.0
78,Tibet,China,31.6927,88.0924,1/22/20,0,0,0.0
79,Xinjiang,China,41.1129,85.2401,1/22/20,0,0,0.0
80,Yunnan,China,24.974,101.487,1/22/20,1,0,0.0
81,Zhejiang,China,29.1832,120.0934,1/22/20,10,0,0.0
82,Colombia,Colombia,4.5709,-74.2973,1/22/20,0,0,0.0
83,Congo (Brazzaville),Congo (Brazzaville),-4.0383,21.7587,1/22/20,0,0,0.0
84,Congo (Kinshasa),Congo (Kinshasa),-4.0383,21.7587,1/22/20,0,0,0.0
85,Costa Rica,Costa Rica,9.7489,-83.7534,1/22/20,0,0,0.0
86,Cote d'Ivoire,Cote d'Ivoire,7.54,-5.5471,1/22/20,0,0,0.0
87,Croatia,Croatia,45.1,15.2,1/22/20,0,0,0.0
88,Diamond Princess,Diamond Princess,0.0,0.0,1/22/20,0,0,0.0
89,Cuba,Cuba,22.0,-80.0,1/22/20,0,0,0.0
90,Cyprus,Cyprus,35.1264,33.4299,1/22/20,0,0,0.0
91,Czechia,Czechia,49.8175,15.473,1/22/20,0,0,0.0
92,Faroe Islands,Denmark,61.8926,-6.9118,1/22/20,0,0,0.0
93,Greenland,Denmark,71.7069,-42.6043,1/22/20,0,0,0.0
94,Denmark,Denmark,56.2639,9.5018,1/22/20,0,0,0.0
95,Djibouti,Djibouti,11.8251,42.5903,1/22/20,0,0,0.0
96,Dominican Republic,Dominican Republic,18.7357,-70.1627,1/22/20,0,0,0.0
97,Ecuador,Ecuador,-1.8312,-78.1834,1/22/20,0,0,0.0
98,Egypt,Egypt,26.0,30.0,1/22/20,0,0,0.0
99,El Salvador,El Salvador,13.7942,-88.8965,1/22/20,0,0,0.0
100,Equatorial Guinea,Equatorial Guinea,1.5,10.0,1/22/20,0,0,0.0
101,Eritrea,Eritrea,15.1794,39.7823,1/22/20,0,0,0.0
102,Estonia,Estonia,58.5953,25.0136,1/22/20,0,0,0.0
103,Eswatini,Eswatini,-26.5225,31.4659,1/22/20,0,0,0.0
104,Ethiopia,Ethiopia,9.145,40.4897,1/22/20,0,0,0.0
105,Fiji,Fiji,-17.7134,178.065,1/22/20,0,0,0.0
106,Finland,Finland,64.0,26.0,1/22/20,0,0,0.0
107,French Guiana,France,3.9339,-53.1258,1/22/20,0,0,0.0
108,French Polynesia,France,-17.6797,149.4068,1/22/20,0,0,0.0
109,Guadeloupe,France,16.25,-61.5833,1/22/20,0,0,0.0
110,Mayotte,France,-12.8275,45.1662,1/22/20,0,0,0.0
111,New Caledonia,France,-20.9043,165.618,1/22/20,0,0,0.0
112,Reunion,France,-21.1351,55.2471,1/22/20,0,0,0.0
113,Saint Barthelemy,France,17.9,-62.8333,1/22/20,0,0,0.0
114,St Martin,France,18.0708,-63.0501,1/22/20,0,0,0.0
115,Martinique,France,14.6415,-61.0242,1/22/20,0,0,0.0
116,France,France,46.2276,2.2137,1/22/20,0,0,0.0
117,Gabon,Gabon,-0.8037,11.6094,1/22/20,0,0,0.0
118,Gambia,Gambia,13.4432,-15.3101,1/22/20,0,0,0.0
119,Georgia,Georgia,42.3154,43.3569,1/22/20,0,0,0.0
120,Germany,Germany,51.0,9.0,1/22/20,0,0,0.0
121,Ghana,Ghana,7.9465,-1.0232,1/22/20,0,0,0.0
122,Greece,Greece,39.0742,21.8243,1/22/20,0,0,0.0
123,Guatemala,Guatemala,15.7835,-90.2308,1/22/20,0,0,0.0
124,Guinea,Guinea,9.9456,-9.6966,1/22/20,0,0,0.0
